,purchase,total_events,unique_products,unique_categories,active_hours,view_count,cart_count,session_count,avg_session_duration,cart_event_ratio,cart_per_product
35261,non_purchase,2,1,1,0.029444444444444443,2,0,1,1.7666666666666666,0.0,0.0
31062,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17807,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
2502,non_purchase,3,3,2,0.1075,3,0,1,6.45,0.0,0.0
29173,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
3459,non_purchase,2,2,2,71.39888888888889,2,0,2,2141.9666666666667,0.0,0.0
5233,non_purchase,2,1,1,0.0,2,0,1,0.0,0.0,0.0
17085,non_purchase,6,2,1,0.45611111111111113,5,1,1,27.366666666666667,0.16666666666666666,0.5
31388,non_purchase,2,1,1,1.02,2,0,1,61.2,0.0,0.0
39599,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
16403,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
38053,non_purchase,2,2,1,0.005555555555555556,2,0,1,0.33333333333333337,0.0,0.0
36847,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
34707,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
20158,non_purchase,2,1,1,0.0011111111111111111,1,1,1,0.06666666666666667,0.5,1.0
20304,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
17704,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
8084,non_purchase,5,1,1,141.92916666666667,4,1,1,8515.75,0.2,1.0
8469,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
26683,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
31985,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
37589,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
37622,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
2868,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
15478,non_purchase,1,1,1,0.0,1,0,1,0.0,0.0,0.0
